"시점","항목",대상분포(%),사교육비,과목: 일반교과 사교육,국  어,영  어,수  학,사회 과학,논  술,제2외국어 한문 컴퓨터 등,과목: 예체능취미교양 사교육,음  악,미  술,체  육,취미·교양,유형: 일반교과 사교육,개인과외,그룹과외,학원수강,방문학습지,유료인터넷 및 통신강좌 등,유형: 예체능취미교양 사교육,개인과외,그룹과외,학원수강,방문수업 및 기타
"2019","초등학교 (만원)",50.4,29.0,17.2,1.5,7.8,5.0,0.8,1.3,0.7,11.8,3.9,1.6,5.5,0.8,17.2,1.4,1.7,11.0,2.2,0.9,11.8,1.2,0.9,9.1,0.6
"2019","중학교 (만원)",23.7,33.8,29.7,1.7,12.1,12.9,1.6,0.8,0.5,4.0,1.2,0.6,1.7,0.6,29.7,3.6,2.9,22.1,0.5,0.6,4.0,0.8,0.4,2.5,0.2
"2019","고등학교 (만원)",25.9,36.5,30.3,4.3,9.9,13.1,2.0,0.6,0.4,5.5,1.7,1.8,1.1,0.9,30.3,5.8,2.5,21.4,0.0,0.6,5.5,1.5,0.3,3.5,0.1
"2019","일반고 (만원)",21.3,42.5,35.9,5.1,11.6,15.6,2.4,0.7,0.4,6.0,1.9,2.0,1.1,1.0,35.9,6.8,2.9,25.4,0.0,0.7,6.0,1.8,0.3,3.9,0.1
"2020","초등학교 (만원)",50.4,23.5,15.8,1.6,7.1,4.9,0.7,1.1,0.4,7.6,2.7,1.0,3.5,0.4,15.8,1.6,1.7,9.8,2.0,0.9,7.6,1.1,0.6,5.7,0.3
"2020","중학교 (만원)",24.6,34.2,30.4,1.9,12.3,13.3,1.6,1.0,0.4,3.6,1.0,0.5,1.7,0.5,30.4,4.0,3.0,22.3,0.5,0.7,3.6,1.0,0.4,2.1,0.1
"2020","고등학교 (만원)",25.0,39.6,33.6,4.9,10.9,14.5,2.5,0.5,0.4,5.1,1.4,1.8,1.2,0.8,33.6,6.1,2.7,24.1,0.0,0.7,5.1,1.3,0.3,3.4,0.1
"2020","일반고 (만원)",20.7,45.7,39.5,5.7,12.8,17.1,3.0,0.5,0.4,5.5,1.6,1.9,1.2,0.8,39.5,7.1,3.2,28.5,0.0,0.8,5.5,1.5,0.3,3.7,0.1
"2021","초등학교 (만원)",50.2,32.8,20.9,2.0,9.6,6.2,0.9,1.5,0.6,11.9,4.1,1.8,5.4,0.6,20.9,1.9,1.8,13.7,2.0,1.5,11.9,1.2,0.7,9.6,0.4
"2021","중학교 (만원)",25.4,39.2,35.0,2.5,13.9,14.9,2.1,1.2,0.5,4.1,1.0,0.6,2.0,0.5,35.0,4.6,3.4,25.4,0.5,1.1,4.1,0.9,0.4,2.6,0.2
"2021","고등학교 (만원)",24.4,41.9,35.7,5.7,11.5,14.9,2.7,0.5,0.4,5.4,1.4,2.1,1.0,0.8,35.7,6.8,2.4,25.3,0.0,1.1,5.4,1.3,0.2,3.8,0.1
"2021","일반고 (만원)",20.4,48.2,41.7,6.7,13.4,17.5,3.2,0.5,0.4,5.8,1.6,2.3,1.1,0.8,41.7,7.8,2.9,29.7,0.0,1.3,5.8,1.5,0.2,4.1,0.1
